Hospital_ID,Hospital_Name,Ownership,Facility_Type,State,District,Taluk,Latitude,Longitude,Total_Beds,ICU_Beds,Oxygen_Beds,Ventilators,Emergency_Services,Ambulances,Primary_Specialization,Specializations_List,Contact_Number,Website
HSP0001,Maddur Endocrinology Center 290,Government,Multi-specialty Hospital,Karnataka,Mandya,Maddur,15.403233,75.050677,35,7,31,3,Yes,0,Endocrinology,Nephrology;Endocrinology;Urology;Psychiatry;Neurology,+91-8541566740,www.maddurhealth22.com
HSP0002,Malur Endocrinology Center 123,Government,PHC,Karnataka,Kolar,Malur,14.287404,75.787323,296,15,9,9,Yes,3,Endocrinology,Urology;General Medicine;Nephrology;Neurology;OBG;ENT;Endocrinology;Radiology;Dermatology,+91-8493456658,www.malurhealth58.com
HSP0003,Gowribidanur General Surgery Center 217,Government,CHC,Karnataka,Chikkaballapur,Gowribidanur,13.221536,76.941475,81,10,16,8,Yes,0,General Surgery,Oncology;Orthopedics;Ophthalmology;Dermatology;Urology;Pediatrics;General Medicine;Neurology;Gastroenterology;Pulmonology;General Surgery;Radiology,+91-7180561977,www.gowribidanurhealth16.com
HSP0004,Jagalur Endocrinology Center 208,Government,Multi-specialty Hospital,Karnataka,Davangere,Jagalur,13.455511,75.992689,87,16,21,3,No,5,Endocrinology,Ophthalmology;Radiology;Gastroenterology;Endocrinology;Oncology,+91-9321715951,www.jagalurhealth59.com
HSP0005,Honnali Gastroenterology Center 184,Private,PHC,Karnataka,Davangere,Honnali,15.61474,77.490972,262,10,13,4,Yes,5,Gastroenterology,Neurology;OBG;Urology;General Surgery;Gastroenterology;ENT;Oncology;Orthopedics;Pediatrics;Nephrology;Ophthalmology,+91-7611864275,www.honnalihealth84.com
HSP0006,Holenarasipura Urology Center 298,Trust,CHC,Karnataka,Hassan,Holenarasipura,13.729208,75.805824,83,0,22,9,No,0,Urology,General Medicine;ENT;Cardiology;Oncology;Dermatology;Radiology;Endocrinology;Orthopedics;Urology;Neurology;Pulmonology,+91-9332670693,www.holenarasipurahealth7.com
HSP0007,Harihara Urology Center 21,Government,Multi-specialty Hospital,Karnataka,Davangere,Harihara,15.204868,76.924685,132,4,36,4,Yes,1,Urology,Pulmonology;Urology;Oncology;Gastroenterology;Psychiatry,+91-8434629846,www.hariharahealth58.com
HSP0008,Srirangapatna Radiology Center 284,Trust,CHC,Karnataka,Mandya,Srirangapatna,13.466522,75.681183,92,3,6,8,Yes,1,Radiology,Cardiology;General Surgery;Nephrology;General Medicine;Dermatology;ENT;Radiology,+91-8294954675,www.srirangapatnahealth9.com
HSP0009,Harihara Cardiology Center 289,Trust,PHC,Karnataka,Davangere,Harihara,15.201121,77.961512,214,12,20,3,No,0,Cardiology,Ophthalmology;Radiology;OBG;ENT;Neurology;Cardiology;Pediatrics;Urology;General Surgery;Dermatology,+91-7527789421,www.hariharahealth84.com
HSP0010,Honnali Neurology Center 103,Government,Private Nursing Home,Karnataka,Davangere,Honnali,12.146152,75.169336,87,15,39,10,No,4,Neurology,OBG;Radiology;Orthopedics;Pediatrics;Dermatology;ENT;Gastroenterology;Neurology,+91-9203786662,www.honnalihealth36.com
